"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
44223429,89669016,"within a few hours","100%","43%","0",2,"Private room",2,1,1,30,1,2,1,5,5,5,5,5,5,4,"0","0",0.08,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.85714285714286
45777642,75268907,NA,NA,NA,"0",0,"Entire home/apt",2,1,0,30,10,14,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
47087912,13766285,NA,NA,NA,"0",0,"Private room",1,1,1,30,30,1125,0,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
47843854,12490535,NA,NA,NA,"0",1,"Private room",1,1,1,30,14,400,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
48119002,363266050,"a few days or more","0%","69%","0",2,"Private room",1,1,0,30,1,7,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
50222473,145200809,"within an hour","90%","100%","0",0,"Entire home/apt",3,NA,1,30,3,30,1,5,5,5,5,5,5,5,"1","0",0.91,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
5962309,15402339,NA,NA,NA,"0",1,"Private room",1,1,1,31,2,4,2,5,4.5,5,5,5,5,5,"0","0",0.03,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.92857142857143
9924474,51015890,NA,NA,NA,"0",1,"Private room",2,1,2,31,3,1125,6,4.5,4.33,3.33,4.67,4.5,4,4.5,"0","0",0.1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.26142857142857
16411584,83673574,NA,NA,NA,"0",1,"Private room",1,1,1,31,18,18,0,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
35835542,269557466,"within a day","100%","100%","0",0,"Private room",2,1,1,31,3,1125,22,4.9,4.9,4.9,4.95,4.76,4.67,4.9,"0","0",0.92,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.85428571428571
41339519,237150996,NA,NA,NA,"0",10,"Shared room",1,1,1,31,1,1125,1,5,5,5,5,5,5,5,"1","1",0.06,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
13266043,10711622,NA,NA,NA,"0",5,"Private room",2,1,1,32,2,1125,5,4.4,4.2,4.6,4.8,4.4,4.4,3.8,"0","0",0.08,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.37142857142857
19339202,135485594,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,32,25,29,1,5,5,5,5,5,5,5,"0","0",0.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
19798639,11944049,"a few days or more","11%","0%","0",0,"Private room",2,1,2,32,1,1125,64,4.4,4.58,4.26,4.81,4.76,4.69,4.39,"0","0",1.31,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.55571428571429
19859427,29724632,NA,NA,NA,"0",1,"Private room",1,1,1,32,2,6,3,5,5,5,5,5,4,5,"0","0",0.06,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.85714285714286
26071210,13172125,"within a few hours","60%","91%","0",1,"Private room",1,1,1,32,1,5,111,4.73,4.87,4.78,4.77,4.72,4.83,4.73,"0","0",3.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.77571428571429
